,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,2,mean_squared_error,10,1,sigmoid,3.0040168660979187,336,minmax2
1,tanh,1200,2,mean_squared_error,12,1,sigmoid,3.9205744084362184,336,minmax2
2,tanh,1200,2,mean_squared_error,14,1,sigmoid,2.3887774687738146,336,minmax2
3,tanh,1200,2,mean_squared_error,16,1,sigmoid,2.2709441509094,336,minmax2
4,tanh,1200,2,mean_squared_error,18,1,sigmoid,2.0265256867026387,336,minmax2
5,tanh,1200,2,mean_squared_error,20,1,sigmoid,2.9905868010982535,336,minmax2
6,tanh,1200,2,mean_squared_error,22,1,sigmoid,2.201477521093143,336,minmax2
7,tanh,1200,2,mean_squared_error,24,1,sigmoid,1.9244953307639572,336,minmax2
8,tanh,1200,2,mean_squared_error,26,1,sigmoid,1.7076848815776926,336,minmax2
9,tanh,1200,2,mean_squared_error,28,1,sigmoid,1.9724137893914835,336,minmax2
10,tanh,1200,2,mean_squared_error,30,1,sigmoid,1.7801753800457436,336,minmax2
11,tanh,1200,2,mean_squared_error,32,1,sigmoid,1.9091905502962292,336,minmax2
12,sigmoid,1200,2,mean_squared_error,10,1,sigmoid,7.070295243878953,336,minmax2
13,sigmoid,1200,2,mean_squared_error,12,1,sigmoid,3.0318254354323275,336,minmax2
14,sigmoid,1200,2,mean_squared_error,14,1,sigmoid,6.456327513576766,336,minmax2
15,sigmoid,1200,2,mean_squared_error,16,1,sigmoid,3.0173011986886347,336,minmax2
16,sigmoid,1200,2,mean_squared_error,18,1,sigmoid,6.361113576207862,336,minmax2
17,sigmoid,1200,2,mean_squared_error,20,1,sigmoid,8.034847564988521,336,minmax2
18,sigmoid,1200,2,mean_squared_error,22,1,sigmoid,2.6107943956284414,336,minmax2
19,sigmoid,1200,2,mean_squared_error,24,1,sigmoid,4.190099554336927,336,minmax2
20,sigmoid,1200,2,mean_squared_error,26,1,sigmoid,2.7452660067216703,336,minmax2
21,sigmoid,1200,2,mean_squared_error,28,1,sigmoid,5.5213261652649495,336,minmax2
22,sigmoid,1200,2,mean_squared_error,30,1,sigmoid,3.658685767121319,336,minmax2
23,sigmoid,1200,2,mean_squared_error,32,1,sigmoid,6.874502054381737,336,minmax2
