,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,8,mean_squared_error,10,1,sigmoid,2.2188212604810476,168,std
1,tanh,1200,8,mean_squared_error,12,1,sigmoid,2.502940133144112,168,std
2,tanh,1200,8,mean_squared_error,14,1,sigmoid,2.1202301152841874,168,std
3,tanh,1200,8,mean_squared_error,16,1,sigmoid,2.0602204282050383,168,std
4,tanh,1200,8,mean_squared_error,18,1,sigmoid,1.9284602627250942,168,std
5,tanh,1200,8,mean_squared_error,20,1,sigmoid,1.8621784205465626,168,std
6,tanh,1200,8,mean_squared_error,22,1,sigmoid,1.8007497426970887,168,std
7,tanh,1200,8,mean_squared_error,24,1,sigmoid,1.6910558748687345,168,std
8,tanh,1200,8,mean_squared_error,26,1,sigmoid,1.7377930929756977,168,std
9,tanh,1200,8,mean_squared_error,28,1,sigmoid,1.8440419281995533,168,std
10,tanh,1200,8,mean_squared_error,30,1,sigmoid,1.65583729480098,168,std
11,tanh,1200,8,mean_squared_error,32,1,sigmoid,1.642005598205245,168,std
12,sigmoid,1200,8,mean_squared_error,10,1,sigmoid,5.0162456368723,168,std
13,sigmoid,1200,8,mean_squared_error,12,1,sigmoid,3.0467793221500705,168,std
14,sigmoid,1200,8,mean_squared_error,14,1,sigmoid,3.793472574418582,168,std
15,sigmoid,1200,8,mean_squared_error,16,1,sigmoid,2.980173677910808,168,std
16,sigmoid,1200,8,mean_squared_error,18,1,sigmoid,2.486820300112102,168,std
17,sigmoid,1200,8,mean_squared_error,20,1,sigmoid,2.7937957183259363,168,std
18,sigmoid,1200,8,mean_squared_error,22,1,sigmoid,2.303960868397296,168,std
19,sigmoid,1200,8,mean_squared_error,24,1,sigmoid,2.4652091208113003,168,std
20,sigmoid,1200,8,mean_squared_error,26,1,sigmoid,2.3973614357661632,168,std
21,sigmoid,1200,8,mean_squared_error,28,1,sigmoid,2.4738651585094145,168,std
22,sigmoid,1200,8,mean_squared_error,30,1,sigmoid,2.3447246414682725,168,std
23,sigmoid,1200,8,mean_squared_error,32,1,sigmoid,2.3870635103302478,168,std
