,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,2,mean_squared_error,10,1,sigmoid,1.9334678298806496,72,std
1,tanh,1200,2,mean_squared_error,12,1,sigmoid,2.2362860411175736,72,std
2,tanh,1200,2,mean_squared_error,14,1,sigmoid,2.331703095145701,72,std
3,tanh,1200,2,mean_squared_error,16,1,sigmoid,1.8655814837898352,72,std
4,tanh,1200,2,mean_squared_error,18,1,sigmoid,1.763774223126502,72,std
5,tanh,1200,2,mean_squared_error,20,1,sigmoid,1.8206855374016693,72,std
6,tanh,1200,2,mean_squared_error,22,1,sigmoid,1.7341759375373693,72,std
7,tanh,1200,2,mean_squared_error,24,1,sigmoid,1.6583988013478026,72,std
8,tanh,1200,2,mean_squared_error,26,1,sigmoid,1.6321491033738222,72,std
9,tanh,1200,2,mean_squared_error,28,1,sigmoid,1.7754765858203438,72,std
10,tanh,1200,2,mean_squared_error,30,1,sigmoid,1.5369617194051488,72,std
11,tanh,1200,2,mean_squared_error,32,1,sigmoid,1.5248809703606419,72,std
12,sigmoid,1200,2,mean_squared_error,10,1,sigmoid,6.267766361563938,72,std
13,sigmoid,1200,2,mean_squared_error,12,1,sigmoid,3.1824096611745216,72,std
14,sigmoid,1200,2,mean_squared_error,14,1,sigmoid,4.264600041463314,72,std
15,sigmoid,1200,2,mean_squared_error,16,1,sigmoid,2.9648229963353967,72,std
16,sigmoid,1200,2,mean_squared_error,18,1,sigmoid,2.4913240274594415,72,std
17,sigmoid,1200,2,mean_squared_error,20,1,sigmoid,2.848907068328263,72,std
18,sigmoid,1200,2,mean_squared_error,22,1,sigmoid,2.3019891446308383,72,std
19,sigmoid,1200,2,mean_squared_error,24,1,sigmoid,2.540764204102667,72,std
20,sigmoid,1200,2,mean_squared_error,26,1,sigmoid,2.4724063930390527,72,std
21,sigmoid,1200,2,mean_squared_error,28,1,sigmoid,2.5996023514572766,72,std
22,sigmoid,1200,2,mean_squared_error,30,1,sigmoid,2.4782541506339957,72,std
23,sigmoid,1200,2,mean_squared_error,32,1,sigmoid,2.488033540623854,72,std
