,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,2,mean_squared_error,10,1,sigmoid,2.5626247972857934,72,minmax1
1,tanh,1200,2,mean_squared_error,12,1,sigmoid,3.6533367792822378,72,minmax1
2,tanh,1200,2,mean_squared_error,14,1,sigmoid,2.86365511062582,72,minmax1
3,tanh,1200,2,mean_squared_error,16,1,sigmoid,2.756414177853172,72,minmax1
4,tanh,1200,2,mean_squared_error,18,1,sigmoid,2.0815909823377434,72,minmax1
5,tanh,1200,2,mean_squared_error,20,1,sigmoid,2.765227000556809,72,minmax1
6,tanh,1200,2,mean_squared_error,22,1,sigmoid,2.4678713496683193,72,minmax1
7,tanh,1200,2,mean_squared_error,24,1,sigmoid,2.0962692115320927,72,minmax1
8,tanh,1200,2,mean_squared_error,26,1,sigmoid,1.883768928464923,72,minmax1
9,tanh,1200,2,mean_squared_error,28,1,sigmoid,2.752089771499353,72,minmax1
10,tanh,1200,2,mean_squared_error,30,1,sigmoid,1.7729205040696285,72,minmax1
11,tanh,1200,2,mean_squared_error,32,1,sigmoid,1.8494319315638215,72,minmax1
12,sigmoid,1200,2,mean_squared_error,10,1,sigmoid,9.813585368856923,72,minmax1
13,sigmoid,1200,2,mean_squared_error,12,1,sigmoid,6.331400499892995,72,minmax1
14,sigmoid,1200,2,mean_squared_error,14,1,sigmoid,8.734458496321933,72,minmax1
15,sigmoid,1200,2,mean_squared_error,16,1,sigmoid,7.4118428157198215,72,minmax1
16,sigmoid,1200,2,mean_squared_error,18,1,sigmoid,3.5387188030026793,72,minmax1
17,sigmoid,1200,2,mean_squared_error,20,1,sigmoid,4.508408873502195,72,minmax1
18,sigmoid,1200,2,mean_squared_error,22,1,sigmoid,4.4779566625345435,72,minmax1
19,sigmoid,1200,2,mean_squared_error,24,1,sigmoid,4.341349478046228,72,minmax1
20,sigmoid,1200,2,mean_squared_error,26,1,sigmoid,5.241584801667186,72,minmax1
21,sigmoid,1200,2,mean_squared_error,28,1,sigmoid,3.2658498642087666,72,minmax1
22,sigmoid,1200,2,mean_squared_error,30,1,sigmoid,3.851349309754152,72,minmax1
23,sigmoid,1200,2,mean_squared_error,32,1,sigmoid,5.010860530768691,72,minmax1
