,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,3,mean_squared_error,10,1,sigmoid,1.6393500788588116,672,std
1,tanh,1200,3,mean_squared_error,12,1,sigmoid,1.8535943465404965,672,std
2,tanh,1200,3,mean_squared_error,14,1,sigmoid,1.645074692775052,672,std
3,tanh,1200,3,mean_squared_error,16,1,sigmoid,1.6251572644158396,672,std
4,tanh,1200,3,mean_squared_error,18,1,sigmoid,1.517045422651597,672,std
5,tanh,1200,3,mean_squared_error,20,1,sigmoid,1.5349669896014726,672,std
6,tanh,1200,3,mean_squared_error,22,1,sigmoid,1.5491390196993395,672,std
7,tanh,1200,3,mean_squared_error,24,1,sigmoid,1.5060442427948473,672,std
8,tanh,1200,3,mean_squared_error,26,1,sigmoid,1.507026881089639,672,std
9,tanh,1200,3,mean_squared_error,28,1,sigmoid,1.5155716951480562,672,std
10,tanh,1200,3,mean_squared_error,30,1,sigmoid,1.467729502535042,672,std
11,tanh,1200,3,mean_squared_error,32,1,sigmoid,1.4729602808352138,672,std
12,sigmoid,1200,3,mean_squared_error,10,1,sigmoid,2.6578703037064573,672,std
13,sigmoid,1200,3,mean_squared_error,12,1,sigmoid,2.1364660423969513,672,std
14,sigmoid,1200,3,mean_squared_error,14,1,sigmoid,2.5869836519289042,672,std
15,sigmoid,1200,3,mean_squared_error,16,1,sigmoid,2.1690475285843025,672,std
16,sigmoid,1200,3,mean_squared_error,18,1,sigmoid,1.8153449436717064,672,std
17,sigmoid,1200,3,mean_squared_error,20,1,sigmoid,2.051692674162711,672,std
18,sigmoid,1200,3,mean_squared_error,22,1,sigmoid,1.7386032755191607,672,std
19,sigmoid,1200,3,mean_squared_error,24,1,sigmoid,1.7851962652702624,672,std
20,sigmoid,1200,3,mean_squared_error,26,1,sigmoid,1.8058836930750315,672,std
21,sigmoid,1200,3,mean_squared_error,28,1,sigmoid,1.7805334593031323,672,std
22,sigmoid,1200,3,mean_squared_error,30,1,sigmoid,1.7601431406139785,672,std
23,sigmoid,1200,3,mean_squared_error,32,1,sigmoid,1.9265128360080788,672,std
