,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,8,mean_squared_error,10,1,sigmoid,1.8789372392679224,672,std
1,tanh,1200,8,mean_squared_error,12,1,sigmoid,1.985172527004361,672,std
2,tanh,1200,8,mean_squared_error,14,1,sigmoid,1.8726609688499067,672,std
3,tanh,1200,8,mean_squared_error,16,1,sigmoid,1.738778008665328,672,std
4,tanh,1200,8,mean_squared_error,18,1,sigmoid,1.8222332216882626,672,std
5,tanh,1200,8,mean_squared_error,20,1,sigmoid,1.659662854137039,672,std
6,tanh,1200,8,mean_squared_error,22,1,sigmoid,1.6382066638114985,672,std
7,tanh,1200,8,mean_squared_error,24,1,sigmoid,1.54027210588428,672,std
8,tanh,1200,8,mean_squared_error,26,1,sigmoid,1.6404527238430031,672,std
9,tanh,1200,8,mean_squared_error,28,1,sigmoid,1.606488776484829,672,std
10,tanh,1200,8,mean_squared_error,30,1,sigmoid,1.508299548630936,672,std
11,tanh,1200,8,mean_squared_error,32,1,sigmoid,1.5164395299060554,672,std
12,sigmoid,1200,8,mean_squared_error,10,1,sigmoid,2.319278115806259,672,std
13,sigmoid,1200,8,mean_squared_error,12,1,sigmoid,1.9767604772296883,672,std
14,sigmoid,1200,8,mean_squared_error,14,1,sigmoid,2.2320031940081497,672,std
15,sigmoid,1200,8,mean_squared_error,16,1,sigmoid,2.0485198841076286,672,std
16,sigmoid,1200,8,mean_squared_error,18,1,sigmoid,1.8045525650488075,672,std
17,sigmoid,1200,8,mean_squared_error,20,1,sigmoid,1.881080539820649,672,std
18,sigmoid,1200,8,mean_squared_error,22,1,sigmoid,1.6797884960138563,672,std
19,sigmoid,1200,8,mean_squared_error,24,1,sigmoid,1.6751751818158471,672,std
20,sigmoid,1200,8,mean_squared_error,26,1,sigmoid,1.6521035195794085,672,std
21,sigmoid,1200,8,mean_squared_error,28,1,sigmoid,1.7216856567028878,672,std
22,sigmoid,1200,8,mean_squared_error,30,1,sigmoid,1.6341951266956303,672,std
23,sigmoid,1200,8,mean_squared_error,32,1,sigmoid,1.7982125728199203,672,std
