,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,3,mean_squared_error,10,1,sigmoid,2.0083267552089907,72,minmax1
1,tanh,1200,3,mean_squared_error,12,1,sigmoid,3.975878104603366,72,minmax1
2,tanh,1200,3,mean_squared_error,14,1,sigmoid,2.711254676677369,72,minmax1
3,tanh,1200,3,mean_squared_error,16,1,sigmoid,2.1251790045376207,72,minmax1
4,tanh,1200,3,mean_squared_error,18,1,sigmoid,2.1344785272614986,72,minmax1
5,tanh,1200,3,mean_squared_error,20,1,sigmoid,2.4898653643768256,72,minmax1
6,tanh,1200,3,mean_squared_error,22,1,sigmoid,2.1762914384197205,72,minmax1
7,tanh,1200,3,mean_squared_error,24,1,sigmoid,2.044880150628114,72,minmax1
8,tanh,1200,3,mean_squared_error,26,1,sigmoid,1.800243364057618,72,minmax1
9,tanh,1200,3,mean_squared_error,28,1,sigmoid,2.1837890924329444,72,minmax1
10,tanh,1200,3,mean_squared_error,30,1,sigmoid,1.82993574280031,72,minmax1
11,tanh,1200,3,mean_squared_error,32,1,sigmoid,1.8348306099663982,72,minmax1
12,sigmoid,1200,3,mean_squared_error,10,1,sigmoid,8.917084720083752,72,minmax1
13,sigmoid,1200,3,mean_squared_error,12,1,sigmoid,5.850754184193245,72,minmax1
14,sigmoid,1200,3,mean_squared_error,14,1,sigmoid,8.547704081965133,72,minmax1
15,sigmoid,1200,3,mean_squared_error,16,1,sigmoid,7.405235316447585,72,minmax1
16,sigmoid,1200,3,mean_squared_error,18,1,sigmoid,2.9907705418703614,72,minmax1
17,sigmoid,1200,3,mean_squared_error,20,1,sigmoid,3.8981468133645722,72,minmax1
18,sigmoid,1200,3,mean_squared_error,22,1,sigmoid,3.881388434386666,72,minmax1
19,sigmoid,1200,3,mean_squared_error,24,1,sigmoid,3.418274781944802,72,minmax1
20,sigmoid,1200,3,mean_squared_error,26,1,sigmoid,4.985199005843624,72,minmax1
21,sigmoid,1200,3,mean_squared_error,28,1,sigmoid,2.9643994644477387,72,minmax1
22,sigmoid,1200,3,mean_squared_error,30,1,sigmoid,3.5265014353509323,72,minmax1
23,sigmoid,1200,3,mean_squared_error,32,1,sigmoid,4.781271993393083,72,minmax1
