,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,2,mean_squared_error,10,1,sigmoid,1.8772534417993176,336,std
1,tanh,1200,2,mean_squared_error,12,1,sigmoid,2.133388475846378,336,std
2,tanh,1200,2,mean_squared_error,14,1,sigmoid,2.235653882179741,336,std
3,tanh,1200,2,mean_squared_error,16,1,sigmoid,1.8409926142221058,336,std
4,tanh,1200,2,mean_squared_error,18,1,sigmoid,1.733179257936102,336,std
5,tanh,1200,2,mean_squared_error,20,1,sigmoid,1.777273637046175,336,std
6,tanh,1200,2,mean_squared_error,22,1,sigmoid,1.6600125088840025,336,std
7,tanh,1200,2,mean_squared_error,24,1,sigmoid,1.6153054840438605,336,std
8,tanh,1200,2,mean_squared_error,26,1,sigmoid,1.6021427021125432,336,std
9,tanh,1200,2,mean_squared_error,28,1,sigmoid,1.7096818038295165,336,std
10,tanh,1200,2,mean_squared_error,30,1,sigmoid,1.5189299491696329,336,std
11,tanh,1200,2,mean_squared_error,32,1,sigmoid,1.5108373616795592,336,std
12,sigmoid,1200,2,mean_squared_error,10,1,sigmoid,5.966805755577434,336,std
13,sigmoid,1200,2,mean_squared_error,12,1,sigmoid,3.0854801413630337,336,std
14,sigmoid,1200,2,mean_squared_error,14,1,sigmoid,4.054948837628809,336,std
15,sigmoid,1200,2,mean_squared_error,16,1,sigmoid,2.8900223105122875,336,std
16,sigmoid,1200,2,mean_squared_error,18,1,sigmoid,2.4371765529739906,336,std
17,sigmoid,1200,2,mean_squared_error,20,1,sigmoid,2.780042113345147,336,std
18,sigmoid,1200,2,mean_squared_error,22,1,sigmoid,2.2425273829532806,336,std
19,sigmoid,1200,2,mean_squared_error,24,1,sigmoid,2.4663222439888357,336,std
20,sigmoid,1200,2,mean_squared_error,26,1,sigmoid,2.4083464516969992,336,std
21,sigmoid,1200,2,mean_squared_error,28,1,sigmoid,2.520485906578577,336,std
22,sigmoid,1200,2,mean_squared_error,30,1,sigmoid,2.4026399520463437,336,std
23,sigmoid,1200,2,mean_squared_error,32,1,sigmoid,2.4313727437534496,336,std
