,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,4,mean_squared_error,10,1,sigmoid,2.397860196161591,672,minmax2
1,tanh,1200,4,mean_squared_error,12,1,sigmoid,3.4858293447871826,672,minmax2
2,tanh,1200,4,mean_squared_error,14,1,sigmoid,3.486267955814737,672,minmax2
3,tanh,1200,4,mean_squared_error,16,1,sigmoid,3.0620163294451896,672,minmax2
4,tanh,1200,4,mean_squared_error,18,1,sigmoid,1.8951971270293357,672,minmax2
5,tanh,1200,4,mean_squared_error,20,1,sigmoid,2.9479072116145977,672,minmax2
6,tanh,1200,4,mean_squared_error,22,1,sigmoid,2.409502830655259,672,minmax2
7,tanh,1200,4,mean_squared_error,24,1,sigmoid,2.3344246032687765,672,minmax2
8,tanh,1200,4,mean_squared_error,26,1,sigmoid,1.9223377781180324,672,minmax2
9,tanh,1200,4,mean_squared_error,28,1,sigmoid,1.8930438409458716,672,minmax2
10,tanh,1200,4,mean_squared_error,30,1,sigmoid,1.79866879445155,672,minmax2
11,tanh,1200,4,mean_squared_error,32,1,sigmoid,1.7729101838480996,672,minmax2
12,sigmoid,1200,4,mean_squared_error,10,1,sigmoid,6.214920598541627,672,minmax2
13,sigmoid,1200,4,mean_squared_error,12,1,sigmoid,2.600508087626252,672,minmax2
14,sigmoid,1200,4,mean_squared_error,14,1,sigmoid,5.445049825830971,672,minmax2
15,sigmoid,1200,4,mean_squared_error,16,1,sigmoid,2.5444331460841147,672,minmax2
16,sigmoid,1200,4,mean_squared_error,18,1,sigmoid,5.716473240560906,672,minmax2
17,sigmoid,1200,4,mean_squared_error,20,1,sigmoid,7.339451148038211,672,minmax2
18,sigmoid,1200,4,mean_squared_error,22,1,sigmoid,2.4075505042633623,672,minmax2
19,sigmoid,1200,4,mean_squared_error,24,1,sigmoid,3.653517160456228,672,minmax2
20,sigmoid,1200,4,mean_squared_error,26,1,sigmoid,2.425895068696451,672,minmax2
21,sigmoid,1200,4,mean_squared_error,28,1,sigmoid,4.848482825998452,672,minmax2
22,sigmoid,1200,4,mean_squared_error,30,1,sigmoid,3.0320633142235196,672,minmax2
23,sigmoid,1200,4,mean_squared_error,32,1,sigmoid,6.3883817410371035,672,minmax2
