,activation,filters,imfs,lags,maxpool,timesteps,score,preprocess
0,relu,2,4,6,True,672,8.412013026824757,std
1,relu,2,4,6,False,672,4.566111251083146,std
2,relu,2,4,12,True,672,10.642521807552626,std
3,relu,2,4,12,False,672,3.0268838158209093,std
4,relu,2,4,18,True,672,11.469228590048532,std
5,relu,2,4,18,False,672,4.002630530839955,std
6,relu,2,4,24,True,672,9.74879423616885,std
7,relu,2,4,24,False,672,2.8707405309494964,std
8,relu,2,4,30,True,672,11.693589372435602,std
9,relu,2,4,30,False,672,3.038925572929917,std
10,relu,2,4,36,True,672,12.333071829026078,std
11,relu,2,4,36,False,672,2.6841785021446922,std
12,relu,2,4,42,True,672,12.31586124363154,std
13,relu,2,4,42,False,672,2.733553747259192,std
14,relu,2,4,48,True,672,11.471468093067985,std
15,relu,2,4,48,False,672,5.114115897391485,std
16,relu,3,4,6,True,672,6.982611244037655,std
17,relu,3,4,6,False,672,3.5711450971657035,std
18,relu,3,4,12,True,672,10.579951966599511,std
19,relu,3,4,12,False,672,2.461304981142458,std
20,relu,3,4,18,True,672,11.501707846768104,std
21,relu,3,4,18,False,672,2.657735791696917,std
22,relu,3,4,24,True,672,10.862269246347411,std
23,relu,3,4,24,False,672,2.5220038781938268,std
24,relu,3,4,30,True,672,10.656527781141333,std
25,relu,3,4,30,False,672,2.6711043022722687,std
26,relu,3,4,36,True,672,11.728356407547638,std
27,relu,3,4,36,False,672,2.558226390845401,std
28,relu,3,4,42,True,672,10.566761346814479,std
29,relu,3,4,42,False,672,3.4312889607561465,std
30,relu,3,4,48,True,672,10.605158838320621,std
31,relu,3,4,48,False,672,2.643406444196928,std
32,relu,4,4,6,True,672,5.733145049098091,std
33,relu,4,4,6,False,672,2.324546266055285,std
34,relu,4,4,12,True,672,7.65856560333473,std
35,relu,4,4,12,False,672,2.6251242298604462,std
36,relu,4,4,18,True,672,9.427422018784236,std
37,relu,4,4,18,False,672,2.697642350005576,std
38,relu,4,4,24,True,672,9.451641321747863,std
39,relu,4,4,24,False,672,2.3454759653255732,std
40,relu,4,4,30,True,672,11.443252665741683,std
41,relu,4,4,30,False,672,2.5115472919666897,std
42,relu,4,4,36,True,672,12.064470389947916,std
43,relu,4,4,36,False,672,2.1976053604039936,std
44,relu,4,4,42,True,672,9.376546742083189,std
45,relu,4,4,42,False,672,2.336185536192967,std
46,relu,4,4,48,True,672,11.377778019905557,std
47,relu,4,4,48,False,672,2.4232424160444443,std
48,relu,5,4,6,True,672,5.908629901527464,std
49,relu,5,4,6,False,672,2.289366036972776,std
50,relu,5,4,12,True,672,6.588856937416554,std
51,relu,5,4,12,False,672,2.2723691242678066,std
52,relu,5,4,18,True,672,10.792203241035503,std
53,relu,5,4,18,False,672,2.283205263747365,std
54,relu,5,4,24,True,672,9.44815601243394,std
55,relu,5,4,24,False,672,2.3021917336117244,std
56,relu,5,4,30,True,672,12.117706251824263,std
57,relu,5,4,30,False,672,2.3737943365179217,std
58,relu,5,4,36,True,672,12.708177129759179,std
59,relu,5,4,36,False,672,2.2019417189373116,std
60,relu,5,4,42,True,672,10.01725450607609,std
61,relu,5,4,42,False,672,2.1106821670310887,std
62,relu,5,4,48,True,672,10.450978092922341,std
63,relu,5,4,48,False,672,2.074906735138987,std
64,relu,6,4,6,True,672,4.79130552831451,std
65,relu,6,4,6,False,672,2.305660455682153,std
66,relu,6,4,12,True,672,5.956346514604726,std
67,relu,6,4,12,False,672,2.4030836563482527,std
68,relu,6,4,18,True,672,10.455094047744756,std
69,relu,6,4,18,False,672,2.1769939326653356,std
70,relu,6,4,24,True,672,8.12128107014488,std
71,relu,6,4,24,False,672,2.2084704685488585,std
72,relu,6,4,30,True,672,10.989904844484544,std
73,relu,6,4,30,False,672,2.136022659375529,std
74,relu,6,4,36,True,672,12.89345688543146,std
75,relu,6,4,36,False,672,2.1934638226051635,std
76,relu,6,4,42,True,672,9.912953004728505,std
77,relu,6,4,42,False,672,2.3488192876906764,std
78,relu,6,4,48,True,672,10.913199430830721,std
79,relu,6,4,48,False,672,2.579148147773344,std
80,relu,7,4,6,True,672,5.470891319177848,std
81,relu,7,4,6,False,672,2.9527506271421835,std
82,relu,7,4,12,True,672,6.2274360034286795,std
83,relu,7,4,12,False,672,2.2368118856349732,std
84,relu,7,4,18,True,672,9.710045694948755,std
85,relu,7,4,18,False,672,2.07064427188165,std
86,relu,7,4,24,True,672,7.5533519293585565,std
87,relu,7,4,24,False,672,2.0254532830566765,std
88,relu,7,4,30,True,672,10.638152114178407,std
89,relu,7,4,30,False,672,2.039406272304609,std
90,relu,7,4,36,True,672,12.390084169542206,std
91,relu,7,4,36,False,672,2.1368961332146243,std
92,relu,7,4,42,True,672,9.598370267973973,std
93,relu,7,4,42,False,672,2.0987612876669823,std
94,relu,7,4,48,True,672,11.006637029414001,std
95,relu,7,4,48,False,672,2.0904981728625573,std
96,relu,8,4,6,True,672,5.006444162573458,std
97,relu,8,4,6,False,672,2.58654596679122,std
98,relu,8,4,12,True,672,6.282481379636051,std
99,relu,8,4,12,False,672,2.1752709218588504,std
100,relu,8,4,18,True,672,9.529670856123678,std
101,relu,8,4,18,False,672,2.0500245404832143,std
102,relu,8,4,24,True,672,8.813031084573444,std
103,relu,8,4,24,False,672,2.239465093008834,std
104,relu,8,4,30,True,672,12.409204664328424,std
105,relu,8,4,30,False,672,2.431489498513301,std
106,relu,8,4,36,True,672,11.98197728126646,std
107,relu,8,4,36,False,672,2.167101558527288,std
108,relu,8,4,42,True,672,10.260714930769215,std
109,relu,8,4,42,False,672,2.1282704608336585,std
110,relu,8,4,48,True,672,10.749665840571446,std
111,relu,8,4,48,False,672,1.905014266611463,std
112,relu,9,4,6,True,672,4.374910269278186,std
113,relu,9,4,6,False,672,2.281259674273743,std
114,relu,9,4,12,True,672,6.300528511072732,std
115,relu,9,4,12,False,672,2.3312915212961767,std
116,relu,9,4,18,True,672,9.637413227636522,std
117,relu,9,4,18,False,672,2.009133595259464,std
118,relu,9,4,24,True,672,8.48792365315986,std
119,relu,9,4,24,False,672,1.860975731068739,std
120,relu,9,4,30,True,672,11.534336498050607,std
121,relu,9,4,30,False,672,2.0742526049599035,std
122,relu,9,4,36,True,672,13.001394697322636,std
123,relu,9,4,36,False,672,1.9709906194679456,std
124,relu,9,4,42,True,672,9.563967994963999,std
125,relu,9,4,42,False,672,1.975470958292527,std
126,relu,9,4,48,True,672,10.699214653133183,std
127,relu,9,4,48,False,672,2.0473993604031597,std
128,tanh,2,4,6,True,672,6.940939336940058,std
129,tanh,2,4,6,False,672,2.8329403202777423,std
130,tanh,2,4,12,True,672,9.240657575531607,std
131,tanh,2,4,12,False,672,2.7589949618230394,std
132,tanh,2,4,18,True,672,11.603643921706206,std
133,tanh,2,4,18,False,672,2.8901273659407063,std
134,tanh,2,4,24,True,672,9.052905469752826,std
135,tanh,2,4,24,False,672,2.4143700229571183,std
136,tanh,2,4,30,True,672,11.47164109160231,std
137,tanh,2,4,30,False,672,2.495397594903223,std
138,tanh,2,4,36,True,672,11.780149753712877,std
139,tanh,2,4,36,False,672,2.2504238031912864,std
140,tanh,2,4,42,True,672,11.787221361629868,std
141,tanh,2,4,42,False,672,2.272052242324648,std
142,tanh,2,4,48,True,672,11.465207196094807,std
143,tanh,2,4,48,False,672,2.4837535260247305,std
144,tanh,3,4,6,True,672,6.514972575695767,std
145,tanh,3,4,6,False,672,2.7253446485578303,std
146,tanh,3,4,12,True,672,7.5215853349529755,std
147,tanh,3,4,12,False,672,2.2345716942844627,std
148,tanh,3,4,18,True,672,10.738743940273844,std
149,tanh,3,4,18,False,672,2.1623217401541908,std
150,tanh,3,4,24,True,672,8.962129928985645,std
151,tanh,3,4,24,False,672,2.15740386212334,std
152,tanh,3,4,30,True,672,10.403333603974849,std
153,tanh,3,4,30,False,672,2.164057367178508,std
154,tanh,3,4,36,True,672,11.425663593370391,std
155,tanh,3,4,36,False,672,2.0630615570937616,std
156,tanh,3,4,42,True,672,10.35873256662748,std
157,tanh,3,4,42,False,672,2.244483479855381,std
158,tanh,3,4,48,True,672,10.65767962241135,std
159,tanh,3,4,48,False,672,2.289006954635198,std
160,tanh,4,4,6,True,672,5.103106765223038,std
161,tanh,4,4,6,False,672,2.027103735921197,std
162,tanh,4,4,12,True,672,7.228028229441954,std
163,tanh,4,4,12,False,672,2.3169049872282916,std
164,tanh,4,4,18,True,672,9.23235825025852,std
165,tanh,4,4,18,False,672,2.1382273761056316,std
166,tanh,4,4,24,True,672,8.35882272742987,std
167,tanh,4,4,24,False,672,1.9212597627909231,std
