,activation,filters,imfs,lags,maxpool,timesteps,score,preprocess
0,relu,2,3,6,True,336,11.252814728217025,minmax1
1,relu,2,3,6,False,336,8.107614585312614,minmax1
2,relu,2,3,12,True,336,11.771101854936425,minmax1
3,relu,2,3,12,False,336,7.549155978762672,minmax1
4,relu,2,3,18,True,336,11.654555425733118,minmax1
5,relu,2,3,18,False,336,10.794977573665891,minmax1
6,relu,2,3,24,True,336,11.230731803867554,minmax1
7,relu,2,3,24,False,336,11.464969746062808,minmax1
8,relu,2,3,30,True,336,11.598708109474948,minmax1
9,relu,2,3,30,False,336,11.269655874098888,minmax1
10,relu,2,3,36,True,336,11.869279628303397,minmax1
11,relu,2,3,36,False,336,8.278137454021302,minmax1
12,relu,2,3,42,True,336,12.2393129706014,minmax1
13,relu,2,3,42,False,336,10.345812942286734,minmax1
14,relu,2,3,48,True,336,11.129093902504186,minmax1
15,relu,2,3,48,False,336,8.62094303910536,minmax1
16,relu,3,3,6,True,336,12.295375366806992,minmax1
17,relu,3,3,6,False,336,3.1485462959059327,minmax1
18,relu,3,3,12,True,336,12.332625180301891,minmax1
19,relu,3,3,12,False,336,8.900779211940938,minmax1
20,relu,3,3,18,True,336,12.397545966767986,minmax1
21,relu,3,3,18,False,336,3.6939882367372943,minmax1
22,relu,3,3,24,True,336,11.427516329450908,minmax1
23,relu,3,3,24,False,336,4.14589494650571,minmax1
24,relu,3,3,30,True,336,11.612424580257432,minmax1
25,relu,3,3,30,False,336,3.7575040686523864,minmax1
26,relu,3,3,36,True,336,11.809312727071303,minmax1
27,relu,3,3,36,False,336,5.627953968253246,minmax1
28,relu,3,3,42,True,336,10.798409279235626,minmax1
29,relu,3,3,42,False,336,3.583897949213225,minmax1
30,relu,3,3,48,True,336,10.3347471519818,minmax1
31,relu,3,3,48,False,336,3.988527961622835,minmax1
32,relu,4,3,6,True,336,8.603650984609795,minmax1
33,relu,4,3,6,False,336,3.0129989608507155,minmax1
34,relu,4,3,12,True,336,11.6251583804912,minmax1
35,relu,4,3,12,False,336,3.594195360428341,minmax1
36,relu,4,3,18,True,336,11.316191912898569,minmax1
37,relu,4,3,18,False,336,3.515747159673929,minmax1
38,relu,4,3,24,True,336,10.067016640276835,minmax1
39,relu,4,3,24,False,336,5.414087101192577,minmax1
40,relu,4,3,30,True,336,11.735807263980707,minmax1
41,relu,4,3,30,False,336,3.7260741999828837,minmax1
42,relu,4,3,36,True,336,11.608833690596034,minmax1
43,relu,4,3,36,False,336,3.855137411063886,minmax1
44,relu,4,3,42,True,336,11.882431999714248,minmax1
45,relu,4,3,42,False,336,3.4097463393951073,minmax1
46,relu,4,3,48,True,336,11.832298746420783,minmax1
47,relu,4,3,48,False,336,6.347373713145039,minmax1
48,relu,5,3,6,True,336,6.18856804272445,minmax1
49,relu,5,3,6,False,336,2.7920726822235187,minmax1
50,relu,5,3,12,True,336,9.16918855593018,minmax1
