,activation,filters,imfs,lags,maxpool,timesteps,score,preprocess
0,relu,2,4,6,True,168,9.780869099142443,minmax1
1,relu,2,4,6,False,168,4.312648058935965,minmax1
2,relu,2,4,12,True,168,11.357039316323421,minmax1
3,relu,2,4,12,False,168,4.192005030174868,minmax1
4,relu,2,4,18,True,168,10.60816252301643,minmax1
5,relu,2,4,18,False,168,5.763982895233054,minmax1
6,relu,2,4,24,True,168,9.315362599650289,minmax1
7,relu,2,4,24,False,168,3.701107350338347,minmax1
8,relu,2,4,30,True,168,12.01934181261947,minmax1
9,relu,2,4,30,False,168,4.008045589501797,minmax1
10,relu,2,4,36,True,168,11.786548865383267,minmax1
11,relu,2,4,36,False,168,5.653505758427821,minmax1
12,relu,2,4,42,True,168,10.283945748004884,minmax1
13,relu,2,4,42,False,168,5.092574424160228,minmax1
14,relu,2,4,48,True,168,11.402499984061961,minmax1
15,relu,2,4,48,False,168,4.636058512911577,minmax1
16,relu,3,4,6,True,168,13.531985237643344,minmax1
17,relu,3,4,6,False,168,6.877546294028823,minmax1
18,relu,3,4,12,True,168,10.94041319703423,minmax1
19,relu,3,4,12,False,168,8.588488404189714,minmax1
20,relu,3,4,18,True,168,11.240170725650307,minmax1
21,relu,3,4,18,False,168,7.89055365041034,minmax1
22,relu,3,4,24,True,168,8.280705707513373,minmax1
23,relu,3,4,24,False,168,4.146177171190548,minmax1
24,relu,3,4,30,True,168,10.535087140531395,minmax1
25,relu,3,4,30,False,168,3.7581319968285603,minmax1
26,relu,3,4,36,True,168,10.946299995494867,minmax1
27,relu,3,4,36,False,168,4.896370488868244,minmax1
28,relu,3,4,42,True,168,9.67590247910326,minmax1
29,relu,3,4,42,False,168,4.282772223966164,minmax1
30,relu,3,4,48,True,168,11.322174052213176,minmax1
31,relu,3,4,48,False,168,4.186858203740759,minmax1
32,relu,4,4,6,True,168,6.361795322645657,minmax1
33,relu,4,4,6,False,168,5.428326813173929,minmax1
34,relu,4,4,12,True,168,8.59352547183327,minmax1
35,relu,4,4,12,False,168,5.646310245182099,minmax1
36,relu,4,4,18,True,168,10.710620104373476,minmax1
37,relu,4,4,18,False,168,4.3886114090605535,minmax1
38,relu,4,4,24,True,168,9.050550340676745,minmax1
39,relu,4,4,24,False,168,7.971085524696993,minmax1
40,relu,4,4,30,True,168,11.041595349197204,minmax1
41,relu,4,4,30,False,168,6.987849261270731,minmax1
42,relu,4,4,36,True,168,11.313262445829675,minmax1
43,relu,4,4,36,False,168,3.2556016588685086,minmax1
