,activation,filters,imfs,lags,maxpool,timesteps,score,preprocess
0,relu,2,4,6,True,168,6.850894802236568,minmax2
1,relu,2,4,6,False,168,3.331120715667416,minmax2
2,relu,2,4,12,True,168,9.998288118759588,minmax2
3,relu,2,4,12,False,168,3.4494903603327245,minmax2
4,relu,2,4,18,True,168,11.743624717131164,minmax2
5,relu,2,4,18,False,168,3.0317437099755256,minmax2
6,relu,2,4,24,True,168,11.918102202930259,minmax2
7,relu,2,4,24,False,168,4.189794241370667,minmax2
8,relu,2,4,30,True,168,27.758398476418833,minmax2
9,relu,2,4,30,False,168,11.003830314025624,minmax2
10,relu,2,4,36,True,168,11.810893584269449,minmax2
11,relu,2,4,36,False,168,3.631872575792545,minmax2
12,relu,2,4,42,True,168,10.466744836913763,minmax2
13,relu,2,4,42,False,168,3.3385857112437987,minmax2
14,relu,2,4,48,True,168,11.283465344291232,minmax2
15,relu,2,4,48,False,168,4.933355316750181,minmax2
16,relu,3,4,6,True,168,8.644883459019097,minmax2
17,relu,3,4,6,False,168,3.055426489538124,minmax2
18,relu,3,4,12,True,168,9.53973629496173,minmax2
19,relu,3,4,12,False,168,3.0063949569265316,minmax2
20,relu,3,4,18,True,168,10.535569950585538,minmax2
21,relu,3,4,18,False,168,3.1955164181062927,minmax2
22,relu,3,4,24,True,168,10.006402366762146,minmax2
23,relu,3,4,24,False,168,4.65760119497445,minmax2
24,relu,3,4,30,True,168,27.89298791314104,minmax2
25,relu,3,4,30,False,168,5.089851400747894,minmax2
26,relu,3,4,36,True,168,11.891321866868916,minmax2
27,relu,3,4,36,False,168,6.452083255487521,minmax2
28,relu,3,4,42,True,168,9.603371968079646,minmax2
29,relu,3,4,42,False,168,3.7981183360016684,minmax2
30,relu,3,4,48,True,168,12.822545274799033,minmax2
31,relu,3,4,48,False,168,3.9528853020504706,minmax2
32,relu,4,4,6,True,168,7.767893634945473,minmax2
33,relu,4,4,6,False,168,3.1391187971524177,minmax2
34,relu,4,4,12,True,168,7.133900263093833,minmax2
35,relu,4,4,12,False,168,2.2363390901587907,minmax2
36,relu,4,4,18,True,168,9.803734367482294,minmax2
37,relu,4,4,18,False,168,2.9964980836236017,minmax2
38,relu,4,4,24,True,168,8.324277141547393,minmax2
39,relu,4,4,24,False,168,3.4282909545841793,minmax2
40,relu,4,4,30,True,168,11.161542449246141,minmax2
41,relu,4,4,30,False,168,3.17102555892294,minmax2
42,relu,4,4,36,True,168,11.888770643500436,minmax2
43,relu,4,4,36,False,168,3.3645088397045786,minmax2
44,relu,4,4,42,True,168,11.756275968225367,minmax2
45,relu,4,4,42,False,168,3.2205859801494365,minmax2
46,relu,4,4,48,True,168,11.661836836867677,minmax2
47,relu,4,4,48,False,168,3.3650848183667836,minmax2
48,relu,5,4,6,True,168,5.393904731468689,minmax2
49,relu,5,4,6,False,168,2.777924237264728,minmax2
50,relu,5,4,12,True,168,8.840036576364708,minmax2
51,relu,5,4,12,False,168,3.349169041250326,minmax2
52,relu,5,4,18,True,168,10.126683102469247,minmax2
53,relu,5,4,18,False,168,3.5167259811953215,minmax2
54,relu,5,4,24,True,168,9.976563058644762,minmax2
55,relu,5,4,24,False,168,3.1326950954288493,minmax2
56,relu,5,4,30,True,168,11.273999775582675,minmax2
57,relu,5,4,30,False,168,3.267867688545962,minmax2
58,relu,5,4,36,True,168,11.775241169776354,minmax2
59,relu,5,4,36,False,168,2.3935747058043555,minmax2
60,relu,5,4,42,True,168,9.981684108112056,minmax2
61,relu,5,4,42,False,168,2.867232842312972,minmax2
62,relu,5,4,48,True,168,11.797116453906664,minmax2
63,relu,5,4,48,False,168,3.1542537657014287,minmax2
64,relu,6,4,6,True,168,7.732255799919343,minmax2
65,relu,6,4,6,False,168,2.585364914000805,minmax2
66,relu,6,4,12,True,168,7.629503983540524,minmax2
67,relu,6,4,12,False,168,2.633481261712827,minmax2
68,relu,6,4,18,True,168,9.452524150882933,minmax2
69,relu,6,4,18,False,168,2.6322233708555043,minmax2
70,relu,6,4,24,True,168,8.17200814460563,minmax2
71,relu,6,4,24,False,168,2.821797138209596,minmax2
72,relu,6,4,30,True,168,10.830802364265383,minmax2
73,relu,6,4,30,False,168,3.0607977517326166,minmax2
74,relu,6,4,36,True,168,11.313707286969349,minmax2
75,relu,6,4,36,False,168,2.6415667614392624,minmax2
76,relu,6,4,42,True,168,9.5568332275787,minmax2
77,relu,6,4,42,False,168,2.9586608155517173,minmax2
78,relu,6,4,48,True,168,11.772951127020443,minmax2
79,relu,6,4,48,False,168,3.4354370731199144,minmax2
80,relu,7,4,6,True,168,4.777949045725863,minmax2
81,relu,7,4,6,False,168,2.4541318703641104,minmax2
82,relu,7,4,12,True,168,6.544559945464837,minmax2
83,relu,7,4,12,False,168,2.880542984329828,minmax2
84,relu,7,4,18,True,168,10.146358501261728,minmax2
85,relu,7,4,18,False,168,2.542476121366446,minmax2
86,relu,7,4,24,True,168,9.068267539618189,minmax2
87,relu,7,4,24,False,168,2.8109449947533856,minmax2
88,relu,7,4,30,True,168,11.01085559297692,minmax2
89,relu,7,4,30,False,168,2.4703860642629905,minmax2
90,relu,7,4,36,True,168,11.43803968618811,minmax2
91,relu,7,4,36,False,168,2.7418922102850933,minmax2
92,relu,7,4,42,True,168,10.151941618863596,minmax2
93,relu,7,4,42,False,168,2.9641728478325717,minmax2
94,relu,7,4,48,True,168,11.644780370782485,minmax2
95,relu,7,4,48,False,168,2.740223645481098,minmax2
96,relu,8,4,6,True,168,5.409077693860175,minmax2
97,relu,8,4,6,False,168,2.0905978633408333,minmax2
98,relu,8,4,12,True,168,6.0446201418672105,minmax2
99,relu,8,4,12,False,168,2.472130398385502,minmax2
100,relu,8,4,18,True,168,9.749195676657902,minmax2
101,relu,8,4,18,False,168,2.566215191196576,minmax2
102,relu,8,4,24,True,168,8.25253680849542,minmax2
103,relu,8,4,24,False,168,2.578204766661452,minmax2
104,relu,8,4,30,True,168,11.13798047023411,minmax2
105,relu,8,4,30,False,168,2.7749138653874117,minmax2
106,relu,8,4,36,True,168,11.167708291129529,minmax2
107,relu,8,4,36,False,168,2.7150336865042126,minmax2
108,relu,8,4,42,True,168,9.43253897927988,minmax2
109,relu,8,4,42,False,168,3.0595132635437663,minmax2
110,relu,8,4,48,True,168,11.54870591686087,minmax2
111,relu,8,4,48,False,168,3.074806447473758,minmax2
112,relu,9,4,6,True,168,4.393050302401425,minmax2
113,relu,9,4,6,False,168,2.0718261352007388,minmax2
114,relu,9,4,12,True,168,6.4469406213095315,minmax2
115,relu,9,4,12,False,168,2.4861357507158024,minmax2
116,relu,9,4,18,True,168,9.434968760706179,minmax2
117,relu,9,4,18,False,168,2.390220631857633,minmax2
118,relu,9,4,24,True,168,8.04111761522604,minmax2
119,relu,9,4,24,False,168,2.289026221109049,minmax2
120,relu,9,4,30,True,168,10.748469260520604,minmax2
121,relu,9,4,30,False,168,2.4130150575318923,minmax2
122,relu,9,4,36,True,168,11.447203689183942,minmax2
123,relu,9,4,36,False,168,2.2096330505867527,minmax2
124,relu,9,4,42,True,168,8.416263569205205,minmax2
125,relu,9,4,42,False,168,2.304713610712695,minmax2
126,relu,9,4,48,True,168,11.508111239531042,minmax2
127,relu,9,4,48,False,168,2.552888531273818,minmax2
128,tanh,2,4,6,True,168,8.850574836156246,minmax2
129,tanh,2,4,6,False,168,4.009389009423791,minmax2
130,tanh,2,4,12,True,168,10.977641577095916,minmax2
131,tanh,2,4,12,False,168,5.638050771837669,minmax2
132,tanh,2,4,18,True,168,11.039610190787695,minmax2
133,tanh,2,4,18,False,168,4.199015732509283,minmax2
134,tanh,2,4,24,True,168,9.140012180049608,minmax2
135,tanh,2,4,24,False,168,4.6724621214213276,minmax2
136,tanh,2,4,30,True,168,11.285787591773072,minmax2
137,tanh,2,4,30,False,168,6.645726706727862,minmax2
138,tanh,2,4,36,True,168,11.886043986356796,minmax2
139,tanh,2,4,36,False,168,8.08980653843274,minmax2
140,tanh,2,4,42,True,168,10.283081167124159,minmax2
141,tanh,2,4,42,False,168,6.5072008989889385,minmax2
142,tanh,2,4,48,True,168,11.266397054858768,minmax2
143,tanh,2,4,48,False,168,4.9384267343565185,minmax2
144,tanh,3,4,6,True,168,10.923240562216911,minmax2
145,tanh,3,4,6,False,168,3.9367940610200756,minmax2
146,tanh,3,4,12,True,168,10.261484176764439,minmax2
147,tanh,3,4,12,False,168,4.946456431818236,minmax2
148,tanh,3,4,18,True,168,10.727513644888246,minmax2
