,activation,filters,imfs,lags,maxpool,timesteps,score,preprocess
0,relu,2,2,6,True,168,6.508113612635904,minmax1
1,relu,2,2,6,False,168,3.350646406033726,minmax1
2,relu,2,2,12,True,168,11.895286292582192,minmax1
3,relu,2,2,12,False,168,4.779730901960793,minmax1
4,relu,2,2,18,True,168,10.632286269238957,minmax1
5,relu,2,2,18,False,168,3.4015763167641273,minmax1
6,relu,2,2,24,True,168,9.519004853877163,minmax1
7,relu,2,2,24,False,168,4.373938106983655,minmax1
8,relu,2,2,30,True,168,11.203407683715241,minmax1
9,relu,2,2,30,False,168,5.673071261900693,minmax1
10,relu,2,2,36,True,168,11.727307975884381,minmax1
11,relu,2,2,36,False,168,3.8972476421634403,minmax1
12,relu,2,2,42,True,168,10.075736793904385,minmax1
13,relu,2,2,42,False,168,4.516461056061237,minmax1
14,relu,2,2,48,True,168,11.540341074225045,minmax1
15,relu,2,2,48,False,168,4.415473181592091,minmax1
16,relu,3,2,6,True,168,7.7825175110178755,minmax1
17,relu,3,2,6,False,168,3.2644790005709505,minmax1
18,relu,3,2,12,True,168,10.503139110821932,minmax1
19,relu,3,2,12,False,168,4.3203207695661385,minmax1
20,relu,3,2,18,True,168,11.391698108202721,minmax1
21,relu,3,2,18,False,168,3.432257849814957,minmax1
22,relu,3,2,24,True,168,8.838727119417909,minmax1
23,relu,3,2,24,False,168,2.9399083501738947,minmax1
24,relu,3,2,30,True,168,10.839211964503903,minmax1
25,relu,3,2,30,False,168,4.264089908924,minmax1
26,relu,3,2,36,True,168,11.090821172805484,minmax1
27,relu,3,2,36,False,168,3.6875511201749087,minmax1
28,relu,3,2,42,True,168,8.469208190785732,minmax1
29,relu,3,2,42,False,168,3.256316089484679,minmax1
30,relu,3,2,48,True,168,11.427913581233991,minmax1
31,relu,3,2,48,False,168,3.1149384441287067,minmax1
32,relu,4,2,6,True,168,6.003883286107965,minmax1
33,relu,4,2,6,False,168,2.5514679740935424,minmax1
34,relu,4,2,12,True,168,7.231091186824741,minmax1
35,relu,4,2,12,False,168,2.6677861262851215,minmax1
36,relu,4,2,18,True,168,9.762037855794754,minmax1
37,relu,4,2,18,False,168,2.6458013547780754,minmax1
38,relu,4,2,24,True,168,8.955125976517461,minmax1
39,relu,4,2,24,False,168,3.088587937912852,minmax1
40,relu,4,2,30,True,168,10.334054230828954,minmax1
41,relu,4,2,30,False,168,3.4702421310861373,minmax1
42,relu,4,2,36,True,168,10.869162048326828,minmax1
43,relu,4,2,36,False,168,2.496006475779439,minmax1
44,relu,4,2,42,True,168,8.615920389577264,minmax1
45,relu,4,2,42,False,168,2.8127716581322693,minmax1
46,relu,4,2,48,True,168,11.37438905538701,minmax1
47,relu,4,2,48,False,168,3.079581267116155,minmax1
48,relu,5,2,6,True,168,5.32210467343817,minmax1
49,relu,5,2,6,False,168,2.3266984662263286,minmax1
50,relu,5,2,12,True,168,7.243411592197682,minmax1
51,relu,5,2,12,False,168,2.7805111696735083,minmax1
52,relu,5,2,18,True,168,9.910499204922742,minmax1
53,relu,5,2,18,False,168,2.492673723163693,minmax1
54,relu,5,2,24,True,168,8.101333099756745,minmax1
55,relu,5,2,24,False,168,2.7928787480361765,minmax1
56,relu,5,2,30,True,168,10.363217916514357,minmax1
57,relu,5,2,30,False,168,2.9266136416211443,minmax1
58,relu,5,2,36,True,168,11.024921326433022,minmax1
59,relu,5,2,36,False,168,3.125572191373876,minmax1
60,relu,5,2,42,True,168,8.327345060166218,minmax1
61,relu,5,2,42,False,168,2.661554294646857,minmax1
62,relu,5,2,48,True,168,11.237287825173572,minmax1
63,relu,5,2,48,False,168,2.8783021739554857,minmax1
64,relu,6,2,6,True,168,6.582894941372071,minmax1
65,relu,6,2,6,False,168,2.2148092897434974,minmax1
66,relu,6,2,12,True,168,7.312077692888533,minmax1
67,relu,6,2,12,False,168,2.390204264009881,minmax1
68,relu,6,2,18,True,168,9.833608783443164,minmax1
69,relu,6,2,18,False,168,2.839074218838001,minmax1
70,relu,6,2,24,True,168,7.6746944971685815,minmax1
71,relu,6,2,24,False,168,2.586598662406365,minmax1
72,relu,6,2,30,True,168,10.323387910855121,minmax1
73,relu,6,2,30,False,168,2.6140994746047537,minmax1
74,relu,6,2,36,True,168,11.022564033054557,minmax1
75,relu,6,2,36,False,168,2.505902320280953,minmax1
76,relu,6,2,42,True,168,8.754420078140493,minmax1
77,relu,6,2,42,False,168,2.558033573961599,minmax1
78,relu,6,2,48,True,168,11.474815361508846,minmax1
79,relu,6,2,48,False,168,3.1048399884535507,minmax1
80,relu,7,2,6,True,168,6.365550524092129,minmax1
81,relu,7,2,6,False,168,2.0109306195110874,minmax1
82,relu,7,2,12,True,168,6.211601196302365,minmax1
83,relu,7,2,12,False,168,1.9669869533804254,minmax1
84,relu,7,2,18,True,168,9.386491603882654,minmax1
85,relu,7,2,18,False,168,2.080992152026207,minmax1
86,relu,7,2,24,True,168,9.779189907971544,minmax1
87,relu,7,2,24,False,168,2.193946148629007,minmax1
88,relu,7,2,30,True,168,10.201211228139428,minmax1
89,relu,7,2,30,False,168,2.330418771943868,minmax1
90,relu,7,2,36,True,168,11.001035983808187,minmax1
91,relu,7,2,36,False,168,2.310235387771692,minmax1
92,relu,7,2,42,True,168,8.310323476205385,minmax1
93,relu,7,2,42,False,168,2.0932141344671082,minmax1
94,relu,7,2,48,True,168,11.091836057577487,minmax1
95,relu,7,2,48,False,168,2.1218525001312476,minmax1
96,relu,8,2,6,True,168,6.090115312011925,minmax1
97,relu,8,2,6,False,168,1.9839997702405823,minmax1
98,relu,8,2,12,True,168,6.383703449632884,minmax1
99,relu,8,2,12,False,168,2.020816227730224,minmax1
100,relu,8,2,18,True,168,9.612842839538317,minmax1
101,relu,8,2,18,False,168,2.087645205177483,minmax1
102,relu,8,2,24,True,168,6.589084180197661,minmax1
103,relu,8,2,24,False,168,2.1008199745849754,minmax1
104,relu,8,2,30,True,168,10.181246374901944,minmax1
105,relu,8,2,30,False,168,1.9296441622216882,minmax1
106,relu,8,2,36,True,168,10.929035372197887,minmax1
107,relu,8,2,36,False,168,2.247820934955158,minmax1
108,relu,8,2,42,True,168,8.419189118576218,minmax1
109,relu,8,2,42,False,168,2.3043578900177306,minmax1
110,relu,8,2,48,True,168,11.299150344297422,minmax1
111,relu,8,2,48,False,168,2.469050053701269,minmax1
112,relu,9,2,6,True,168,5.687852415230896,minmax1
113,relu,9,2,6,False,168,2.1365814730638903,minmax1
114,relu,9,2,12,True,168,6.9774641167285285,minmax1
115,relu,9,2,12,False,168,2.27194237655836,minmax1
116,relu,9,2,18,True,168,9.73816985281148,minmax1
117,relu,9,2,18,False,168,2.2113011177209483,minmax1
118,relu,9,2,24,True,168,7.818857703277656,minmax1
119,relu,9,2,24,False,168,2.1004423939655794,minmax1
120,relu,9,2,30,True,168,10.467813876712048,minmax1
121,relu,9,2,30,False,168,2.5708171549723775,minmax1
122,relu,9,2,36,True,168,11.089498103160079,minmax1
123,relu,9,2,36,False,168,2.3110219096289315,minmax1
124,relu,9,2,42,True,168,8.130508545208098,minmax1
125,relu,9,2,42,False,168,2.1738296542290976,minmax1
126,relu,9,2,48,True,168,11.300936963203085,minmax1
127,relu,9,2,48,False,168,2.5070654560878705,minmax1
128,tanh,2,2,6,True,168,6.557373107146785,minmax1
129,tanh,2,2,6,False,168,3.372961079829727,minmax1
130,tanh,2,2,12,True,168,11.914273735155662,minmax1
131,tanh,2,2,12,False,168,4.6692201070397985,minmax1
132,tanh,2,2,18,True,168,10.389353183443141,minmax1
133,tanh,2,2,18,False,168,3.4983966513242737,minmax1
134,tanh,2,2,24,True,168,9.417708840594461,minmax1
135,tanh,2,2,24,False,168,4.247767534190734,minmax1
136,tanh,2,2,30,True,168,11.004432978279098,minmax1
137,tanh,2,2,30,False,168,5.839464393102034,minmax1
138,tanh,2,2,36,True,168,11.842049045634791,minmax1
139,tanh,2,2,36,False,168,3.8575973052607644,minmax1
140,tanh,2,2,42,True,168,10.055931983942363,minmax1
141,tanh,2,2,42,False,168,4.180873334576811,minmax1
142,tanh,2,2,48,True,168,11.738835836250802,minmax1
143,tanh,2,2,48,False,168,3.702422834297126,minmax1
144,tanh,3,2,6,True,168,7.746468185309482,minmax1
145,tanh,3,2,6,False,168,3.331880201634666,minmax1
146,tanh,3,2,12,True,168,9.379098063300475,minmax1
147,tanh,3,2,12,False,168,3.5956648781216747,minmax1
148,tanh,3,2,18,True,168,11.173055998222019,minmax1
149,tanh,3,2,18,False,168,3.562910158322673,minmax1
150,tanh,3,2,24,True,168,8.808038935658349,minmax1
151,tanh,3,2,24,False,168,3.313302817693274,minmax1
152,tanh,3,2,30,True,168,10.829310760464839,minmax1
153,tanh,3,2,30,False,168,3.1500406152556972,minmax1
154,tanh,3,2,36,True,168,11.22754098353248,minmax1
155,tanh,3,2,36,False,168,3.5587212421052516,minmax1
156,tanh,3,2,42,True,168,8.741445243922357,minmax1
157,tanh,3,2,42,False,168,3.6167088448931652,minmax1
158,tanh,3,2,48,True,168,11.68773437980362,minmax1
159,tanh,3,2,48,False,168,3.3875140821004797,minmax1
160,tanh,4,2,6,True,168,6.498857908491041,minmax1
161,tanh,4,2,6,False,168,3.3351036305556176,minmax1
162,tanh,4,2,12,True,168,7.641834809745847,minmax1
163,tanh,4,2,12,False,168,3.1123280004285983,minmax1
164,tanh,4,2,18,True,168,9.717250113925775,minmax1
165,tanh,4,2,18,False,168,2.839405459412087,minmax1
166,tanh,4,2,24,True,168,8.505830448254331,minmax1
167,tanh,4,2,24,False,168,3.001763594957874,minmax1
168,tanh,4,2,30,True,168,10.27473483519855,minmax1
169,tanh,4,2,30,False,168,3.43945414909367,minmax1
170,tanh,4,2,36,True,168,10.848043034229592,minmax1
171,tanh,4,2,36,False,168,2.528792122123265,minmax1
172,tanh,4,2,42,True,168,8.662900152827167,minmax1
173,tanh,4,2,42,False,168,2.5981037506569646,minmax1
174,tanh,4,2,48,True,168,11.40742736495551,minmax1
175,tanh,4,2,48,False,168,2.827412286198267,minmax1
176,tanh,5,2,6,True,168,5.431063363815149,minmax1
177,tanh,5,2,6,False,168,2.6996612900045958,minmax1
178,tanh,5,2,12,True,168,7.106289236048772,minmax1
179,tanh,5,2,12,False,168,2.922699322983637,minmax1
180,tanh,5,2,18,True,168,9.698311173152568,minmax1
181,tanh,5,2,18,False,168,2.6726703557618174,minmax1
182,tanh,5,2,24,True,168,8.058422234634287,minmax1
183,tanh,5,2,24,False,168,2.7395679076579436,minmax1
184,tanh,5,2,30,True,168,10.424939043478272,minmax1
185,tanh,5,2,30,False,168,3.127453435290805,minmax1
186,tanh,5,2,36,True,168,10.982392381188848,minmax1
187,tanh,5,2,36,False,168,2.7122636698187645,minmax1
188,tanh,5,2,42,True,168,8.254490835255128,minmax1
189,tanh,5,2,42,False,168,2.8844688914159744,minmax1
190,tanh,5,2,48,True,168,11.139309294157401,minmax1
191,tanh,5,2,48,False,168,2.5164231780757005,minmax1
192,tanh,6,2,6,True,168,6.266305302782421,minmax1
193,tanh,6,2,6,False,168,2.274684608212694,minmax1
194,tanh,6,2,12,True,168,7.059670921486071,minmax1
195,tanh,6,2,12,False,168,2.3101814141535817,minmax1
196,tanh,6,2,18,True,168,9.761232355342356,minmax1
197,tanh,6,2,18,False,168,2.714353571002665,minmax1
198,tanh,6,2,24,True,168,7.700253908386011,minmax1
199,tanh,6,2,24,False,168,2.5345559164994813,minmax1
200,tanh,6,2,30,True,168,10.30558318435974,minmax1
201,tanh,6,2,30,False,168,2.791467628670243,minmax1
202,tanh,6,2,36,True,168,11.098391207741516,minmax1
203,tanh,6,2,36,False,168,2.9367829707126054,minmax1
204,tanh,6,2,42,True,168,8.841702218919048,minmax1
205,tanh,6,2,42,False,168,2.5818769653260025,minmax1
206,tanh,6,2,48,True,168,11.393506754758175,minmax1
207,tanh,6,2,48,False,168,2.7502898737849777,minmax1
208,tanh,7,2,6,True,168,5.9939506890786785,minmax1
209,tanh,7,2,6,False,168,2.2134467978953634,minmax1
210,tanh,7,2,12,True,168,6.278891045840292,minmax1
211,tanh,7,2,12,False,168,2.0816055509903446,minmax1
212,tanh,7,2,18,True,168,9.400069482888961,minmax1
213,tanh,7,2,18,False,168,2.167833321063879,minmax1
214,tanh,7,2,24,True,168,8.96532544114556,minmax1
215,tanh,7,2,24,False,168,2.4414424447162926,minmax1
216,tanh,7,2,30,True,168,10.190247503706924,minmax1
217,tanh,7,2,30,False,168,2.2822583438952337,minmax1
218,tanh,7,2,36,True,168,11.065800042340234,minmax1
219,tanh,7,2,36,False,168,2.3092420027660254,minmax1
220,tanh,7,2,42,True,168,8.435141872842792,minmax1
221,tanh,7,2,42,False,168,2.2299191820573405,minmax1
222,tanh,7,2,48,True,168,11.055902543301746,minmax1
223,tanh,7,2,48,False,168,2.195736271855313,minmax1
224,tanh,8,2,6,True,168,6.086240099884943,minmax1
225,tanh,8,2,6,False,168,2.0060593229028307,minmax1
226,tanh,8,2,12,True,168,5.9205238567281135,minmax1
227,tanh,8,2,12,False,168,1.9837365884684315,minmax1
228,tanh,8,2,18,True,168,9.588535428981311,minmax1
229,tanh,8,2,18,False,168,2.1298950897739792,minmax1
230,tanh,8,2,24,True,168,6.808745996767096,minmax1
231,tanh,8,2,24,False,168,2.208573532471564,minmax1
232,tanh,8,2,30,True,168,10.235602397618791,minmax1
233,tanh,8,2,30,False,168,2.0227000317278474,minmax1
234,tanh,8,2,36,True,168,10.944940912601012,minmax1
235,tanh,8,2,36,False,168,2.242427487272695,minmax1
236,tanh,8,2,42,True,168,8.503803134853166,minmax1
237,tanh,8,2,42,False,168,2.3208076070209938,minmax1
238,tanh,8,2,48,True,168,11.288104715419069,minmax1
239,tanh,8,2,48,False,168,2.424966799568539,minmax1
240,tanh,9,2,6,True,168,5.473904403508147,minmax1
241,tanh,9,2,6,False,168,2.2152757419142635,minmax1
242,tanh,9,2,12,True,168,6.453157737150803,minmax1
243,tanh,9,2,12,False,168,2.095560399576004,minmax1
244,tanh,9,2,18,True,168,9.612054433240468,minmax1
245,tanh,9,2,18,False,168,2.0300000072411315,minmax1
246,tanh,9,2,24,True,168,7.894211811103526,minmax1
247,tanh,9,2,24,False,168,2.0348181482937773,minmax1
248,tanh,9,2,30,True,168,10.379439698030875,minmax1
249,tanh,9,2,30,False,168,2.4460463478399372,minmax1
250,tanh,9,2,36,True,168,11.056525685911156,minmax1
251,tanh,9,2,36,False,168,2.297425899056425,minmax1
252,tanh,9,2,42,True,168,8.232838118536955,minmax1
253,tanh,9,2,42,False,168,2.1906644351565188,minmax1
254,tanh,9,2,48,True,168,11.355368087041871,minmax1
255,tanh,9,2,48,False,168,2.145095622114013,minmax1
256,sigmoid,2,2,6,True,168,9.559454976010443,minmax1
257,sigmoid,2,2,6,False,168,6.827993705711933,minmax1
258,sigmoid,2,2,12,True,168,11.287606239636503,minmax1
259,sigmoid,2,2,12,False,168,8.526699269112283,minmax1
260,sigmoid,2,2,18,True,168,11.10608089967115,minmax1
261,sigmoid,2,2,18,False,168,6.599918860596461,minmax1
262,sigmoid,2,2,24,True,168,9.984269057370655,minmax1
263,sigmoid,2,2,24,False,168,7.365845753800133,minmax1
264,sigmoid,2,2,30,True,168,11.15511138977873,minmax1
265,sigmoid,2,2,30,False,168,9.435179544643795,minmax1
