,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,8,mean_squared_error,10,1,sigmoid,3.1590504192389397,168,minmax2
1,tanh,1200,8,mean_squared_error,12,1,sigmoid,4.354949964873796,168,minmax2
2,tanh,1200,8,mean_squared_error,14,1,sigmoid,3.0567081155368423,168,minmax2
3,tanh,1200,8,mean_squared_error,16,1,sigmoid,3.4626924355114457,168,minmax2
4,tanh,1200,8,mean_squared_error,18,1,sigmoid,2.27810495155661,168,minmax2
5,tanh,1200,8,mean_squared_error,20,1,sigmoid,2.8636074513463714,168,minmax2
6,tanh,1200,8,mean_squared_error,22,1,sigmoid,2.3699785105069577,168,minmax2
7,tanh,1200,8,mean_squared_error,24,1,sigmoid,2.3114011890521615,168,minmax2
8,tanh,1200,8,mean_squared_error,26,1,sigmoid,1.944560962405637,168,minmax2
9,tanh,1200,8,mean_squared_error,28,1,sigmoid,2.0810223655317874,168,minmax2
10,tanh,1200,8,mean_squared_error,30,1,sigmoid,1.8073560213376239,168,minmax2
11,tanh,1200,8,mean_squared_error,32,1,sigmoid,1.9499333450030538,168,minmax2
12,sigmoid,1200,8,mean_squared_error,10,1,sigmoid,6.521143647958111,168,minmax2
13,sigmoid,1200,8,mean_squared_error,12,1,sigmoid,3.058022888554483,168,minmax2
14,sigmoid,1200,8,mean_squared_error,14,1,sigmoid,5.9154647326477345,168,minmax2
15,sigmoid,1200,8,mean_squared_error,16,1,sigmoid,3.080804836996921,168,minmax2
16,sigmoid,1200,8,mean_squared_error,18,1,sigmoid,5.855406638959599,168,minmax2
17,sigmoid,1200,8,mean_squared_error,20,1,sigmoid,7.381474276947074,168,minmax2
18,sigmoid,1200,8,mean_squared_error,22,1,sigmoid,2.7475412262351058,168,minmax2
19,sigmoid,1200,8,mean_squared_error,24,1,sigmoid,3.936530804144426,168,minmax2
20,sigmoid,1200,8,mean_squared_error,26,1,sigmoid,2.784083358189122,168,minmax2
21,sigmoid,1200,8,mean_squared_error,28,1,sigmoid,4.985356601782988,168,minmax2
22,sigmoid,1200,8,mean_squared_error,30,1,sigmoid,3.363342160701753,168,minmax2
23,sigmoid,1200,8,mean_squared_error,32,1,sigmoid,6.415667282528372,168,minmax2
