,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,8,mean_squared_error,10,1,sigmoid,2.1696693573514687,336,minmax2
1,tanh,1200,8,mean_squared_error,12,1,sigmoid,3.07643804860188,336,minmax2
2,tanh,1200,8,mean_squared_error,14,1,sigmoid,2.7303030266775004,336,minmax2
3,tanh,1200,8,mean_squared_error,16,1,sigmoid,2.595753199192616,336,minmax2
4,tanh,1200,8,mean_squared_error,18,1,sigmoid,2.029034811652201,336,minmax2
5,tanh,1200,8,mean_squared_error,20,1,sigmoid,2.5405400499022788,336,minmax2
6,tanh,1200,8,mean_squared_error,22,1,sigmoid,2.416492318659805,336,minmax2
7,tanh,1200,8,mean_squared_error,24,1,sigmoid,2.34845951935097,336,minmax2
8,tanh,1200,8,mean_squared_error,26,1,sigmoid,2.0757047576265464,336,minmax2
9,tanh,1200,8,mean_squared_error,28,1,sigmoid,2.1103984650921577,336,minmax2
10,tanh,1200,8,mean_squared_error,30,1,sigmoid,1.779528331733872,336,minmax2
11,tanh,1200,8,mean_squared_error,32,1,sigmoid,1.8374736749049214,336,minmax2
12,sigmoid,1200,8,mean_squared_error,10,1,sigmoid,6.100797766745997,336,minmax2
13,sigmoid,1200,8,mean_squared_error,12,1,sigmoid,2.978412459721817,336,minmax2
14,sigmoid,1200,8,mean_squared_error,14,1,sigmoid,5.689765171524714,336,minmax2
15,sigmoid,1200,8,mean_squared_error,16,1,sigmoid,3.0943611347629805,336,minmax2
16,sigmoid,1200,8,mean_squared_error,18,1,sigmoid,5.758324912462329,336,minmax2
17,sigmoid,1200,8,mean_squared_error,20,1,sigmoid,7.385396762193857,336,minmax2
18,sigmoid,1200,8,mean_squared_error,22,1,sigmoid,2.719614704038208,336,minmax2
19,sigmoid,1200,8,mean_squared_error,24,1,sigmoid,3.6737671587069283,336,minmax2
20,sigmoid,1200,8,mean_squared_error,26,1,sigmoid,2.7576595008410734,336,minmax2
21,sigmoid,1200,8,mean_squared_error,28,1,sigmoid,5.0116241033460165,336,minmax2
22,sigmoid,1200,8,mean_squared_error,30,1,sigmoid,3.261069881220179,336,minmax2
23,sigmoid,1200,8,mean_squared_error,32,1,sigmoid,6.540306588299741,336,minmax2
