,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,4,mean_squared_error,10,1,sigmoid,2.5393471948252926,48,minmax2
1,tanh,1200,4,mean_squared_error,12,1,sigmoid,3.9811082219370104,48,minmax2
2,tanh,1200,4,mean_squared_error,14,1,sigmoid,3.1332199826457914,48,minmax2
3,tanh,1200,4,mean_squared_error,16,1,sigmoid,2.8005226578226363,48,minmax2
4,tanh,1200,4,mean_squared_error,18,1,sigmoid,2.0869409310649547,48,minmax2
5,tanh,1200,4,mean_squared_error,20,1,sigmoid,2.5205529923578327,48,minmax2
6,tanh,1200,4,mean_squared_error,22,1,sigmoid,2.09792406625155,48,minmax2
7,tanh,1200,4,mean_squared_error,24,1,sigmoid,2.2525737642389134,48,minmax2
8,tanh,1200,4,mean_squared_error,26,1,sigmoid,1.8343051950995588,48,minmax2
9,tanh,1200,4,mean_squared_error,28,1,sigmoid,1.901666928345726,48,minmax2
10,tanh,1200,4,mean_squared_error,30,1,sigmoid,1.7898709761089329,48,minmax2
11,tanh,1200,4,mean_squared_error,32,1,sigmoid,1.8234488881999247,48,minmax2
12,sigmoid,1200,4,mean_squared_error,10,1,sigmoid,4.834848897717399,48,minmax2
13,sigmoid,1200,4,mean_squared_error,12,1,sigmoid,2.525435125566823,48,minmax2
14,sigmoid,1200,4,mean_squared_error,14,1,sigmoid,4.731127648932011,48,minmax2
15,sigmoid,1200,4,mean_squared_error,16,1,sigmoid,2.669346393593125,48,minmax2
16,sigmoid,1200,4,mean_squared_error,18,1,sigmoid,4.330274986765092,48,minmax2
17,sigmoid,1200,4,mean_squared_error,20,1,sigmoid,5.453581666991769,48,minmax2
18,sigmoid,1200,4,mean_squared_error,22,1,sigmoid,2.3797658704922413,48,minmax2
19,sigmoid,1200,4,mean_squared_error,24,1,sigmoid,2.955511175744643,48,minmax2
20,sigmoid,1200,4,mean_squared_error,26,1,sigmoid,2.469142044870993,48,minmax2
21,sigmoid,1200,4,mean_squared_error,28,1,sigmoid,3.5019161269631582,48,minmax2
22,sigmoid,1200,4,mean_squared_error,30,1,sigmoid,2.85860050891597,48,minmax2
23,sigmoid,1200,4,mean_squared_error,32,1,sigmoid,4.68229122768289,48,minmax2
