,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,3,mean_squared_error,10,1,sigmoid,2.467780354798879,24,minmax2
1,tanh,1200,3,mean_squared_error,12,1,sigmoid,3.6084482095914905,24,minmax2
2,tanh,1200,3,mean_squared_error,14,1,sigmoid,2.7707174442934273,24,minmax2
3,tanh,1200,3,mean_squared_error,16,1,sigmoid,3.064558647534658,24,minmax2
4,tanh,1200,3,mean_squared_error,18,1,sigmoid,2.0254240165507174,24,minmax2
5,tanh,1200,3,mean_squared_error,20,1,sigmoid,2.5668187496604444,24,minmax2
6,tanh,1200,3,mean_squared_error,22,1,sigmoid,2.1521881442999105,24,minmax2
7,tanh,1200,3,mean_squared_error,24,1,sigmoid,2.26104792335299,24,minmax2
8,tanh,1200,3,mean_squared_error,26,1,sigmoid,1.7890548902266779,24,minmax2
9,tanh,1200,3,mean_squared_error,28,1,sigmoid,1.8369401418565212,24,minmax2
10,tanh,1200,3,mean_squared_error,30,1,sigmoid,1.8057498333283872,24,minmax2
11,tanh,1200,3,mean_squared_error,32,1,sigmoid,1.7764263711003598,24,minmax2
12,sigmoid,1200,3,mean_squared_error,10,1,sigmoid,4.249599508988833,24,minmax2
13,sigmoid,1200,3,mean_squared_error,12,1,sigmoid,2.4737863879779676,24,minmax2
14,sigmoid,1200,3,mean_squared_error,14,1,sigmoid,4.521124129219549,24,minmax2
15,sigmoid,1200,3,mean_squared_error,16,1,sigmoid,2.6021694446721244,24,minmax2
16,sigmoid,1200,3,mean_squared_error,18,1,sigmoid,4.112404302389819,24,minmax2
17,sigmoid,1200,3,mean_squared_error,20,1,sigmoid,5.591285865202584,24,minmax2
18,sigmoid,1200,3,mean_squared_error,22,1,sigmoid,2.3224192114001476,24,minmax2
19,sigmoid,1200,3,mean_squared_error,24,1,sigmoid,2.7812776717059653,24,minmax2
20,sigmoid,1200,3,mean_squared_error,26,1,sigmoid,2.445682620344825,24,minmax2
21,sigmoid,1200,3,mean_squared_error,28,1,sigmoid,3.3204495797894453,24,minmax2
22,sigmoid,1200,3,mean_squared_error,30,1,sigmoid,2.748647134547123,24,minmax2
23,sigmoid,1200,3,mean_squared_error,32,1,sigmoid,4.775473380199354,24,minmax2
