,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,2,mean_squared_error,10,1,sigmoid,2.917843361567997,672,minmax2
1,tanh,1200,2,mean_squared_error,12,1,sigmoid,3.8350630875648277,672,minmax2
2,tanh,1200,2,mean_squared_error,14,1,sigmoid,2.303000024717149,672,minmax2
3,tanh,1200,2,mean_squared_error,16,1,sigmoid,2.2009493724492017,672,minmax2
4,tanh,1200,2,mean_squared_error,18,1,sigmoid,1.9709555334149917,672,minmax2
5,tanh,1200,2,mean_squared_error,20,1,sigmoid,2.9262107030481874,672,minmax2
6,tanh,1200,2,mean_squared_error,22,1,sigmoid,2.159855503983439,672,minmax2
7,tanh,1200,2,mean_squared_error,24,1,sigmoid,1.8850901582444635,672,minmax2
8,tanh,1200,2,mean_squared_error,26,1,sigmoid,1.6612046942686785,672,minmax2
9,tanh,1200,2,mean_squared_error,28,1,sigmoid,1.9333751921941325,672,minmax2
10,tanh,1200,2,mean_squared_error,30,1,sigmoid,1.6845024136259417,672,minmax2
11,tanh,1200,2,mean_squared_error,32,1,sigmoid,1.829789202487227,672,minmax2
12,sigmoid,1200,2,mean_squared_error,10,1,sigmoid,6.717008899152471,672,minmax2
13,sigmoid,1200,2,mean_squared_error,12,1,sigmoid,2.8564170443503207,672,minmax2
14,sigmoid,1200,2,mean_squared_error,14,1,sigmoid,6.296560718987081,672,minmax2
15,sigmoid,1200,2,mean_squared_error,16,1,sigmoid,2.78492416032186,672,minmax2
16,sigmoid,1200,2,mean_squared_error,18,1,sigmoid,6.255182811231715,672,minmax2
17,sigmoid,1200,2,mean_squared_error,20,1,sigmoid,7.874387992757246,672,minmax2
18,sigmoid,1200,2,mean_squared_error,22,1,sigmoid,2.529052143469309,672,minmax2
19,sigmoid,1200,2,mean_squared_error,24,1,sigmoid,4.277455738802027,672,minmax2
20,sigmoid,1200,2,mean_squared_error,26,1,sigmoid,2.6432570881921693,672,minmax2
21,sigmoid,1200,2,mean_squared_error,28,1,sigmoid,5.5714721163896295,672,minmax2
22,sigmoid,1200,2,mean_squared_error,30,1,sigmoid,3.717759165599378,672,minmax2
23,sigmoid,1200,2,mean_squared_error,32,1,sigmoid,6.767532411467987,672,minmax2
