,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,2,mean_squared_error,10,1,sigmoid,3.0418593241866567,168,minmax2
1,tanh,1200,2,mean_squared_error,12,1,sigmoid,3.9751991404818843,168,minmax2
2,tanh,1200,2,mean_squared_error,14,1,sigmoid,2.42287338438249,168,minmax2
3,tanh,1200,2,mean_squared_error,16,1,sigmoid,2.300296942749572,168,minmax2
4,tanh,1200,2,mean_squared_error,18,1,sigmoid,2.0501027201589768,168,minmax2
5,tanh,1200,2,mean_squared_error,20,1,sigmoid,3.0291083952192275,168,minmax2
6,tanh,1200,2,mean_squared_error,22,1,sigmoid,2.23400980185233,168,minmax2
7,tanh,1200,2,mean_squared_error,24,1,sigmoid,1.9461652159641445,168,minmax2
8,tanh,1200,2,mean_squared_error,26,1,sigmoid,1.721930828167941,168,minmax2
9,tanh,1200,2,mean_squared_error,28,1,sigmoid,1.9936907747644064,168,minmax2
10,tanh,1200,2,mean_squared_error,30,1,sigmoid,1.7874421714258588,168,minmax2
11,tanh,1200,2,mean_squared_error,32,1,sigmoid,1.9273632655061468,168,minmax2
12,sigmoid,1200,2,mean_squared_error,10,1,sigmoid,7.197420398148315,168,minmax2
13,sigmoid,1200,2,mean_squared_error,12,1,sigmoid,3.1092150496401074,168,minmax2
14,sigmoid,1200,2,mean_squared_error,14,1,sigmoid,6.559532247308519,168,minmax2
15,sigmoid,1200,2,mean_squared_error,16,1,sigmoid,3.1203313478563346,168,minmax2
16,sigmoid,1200,2,mean_squared_error,18,1,sigmoid,6.427317466584335,168,minmax2
17,sigmoid,1200,2,mean_squared_error,20,1,sigmoid,8.122704781147744,168,minmax2
18,sigmoid,1200,2,mean_squared_error,22,1,sigmoid,2.653708307883102,168,minmax2
19,sigmoid,1200,2,mean_squared_error,24,1,sigmoid,4.256395134053914,168,minmax2
20,sigmoid,1200,2,mean_squared_error,26,1,sigmoid,2.782743539126784,168,minmax2
21,sigmoid,1200,2,mean_squared_error,28,1,sigmoid,5.553444151230559,168,minmax2
22,sigmoid,1200,2,mean_squared_error,30,1,sigmoid,3.7072680523909103,168,minmax2
23,sigmoid,1200,2,mean_squared_error,32,1,sigmoid,6.935064122184011,168,minmax2
