,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,6,mean_squared_error,10,1,sigmoid,3.307614445534698,48,minmax2
1,tanh,1200,6,mean_squared_error,12,1,sigmoid,5.325033045112193,48,minmax2
2,tanh,1200,6,mean_squared_error,14,1,sigmoid,2.9961858407205644,48,minmax2
3,tanh,1200,6,mean_squared_error,16,1,sigmoid,2.592536899050479,48,minmax2
4,tanh,1200,6,mean_squared_error,18,1,sigmoid,2.2496621852183942,48,minmax2
5,tanh,1200,6,mean_squared_error,20,1,sigmoid,2.54074191720535,48,minmax2
6,tanh,1200,6,mean_squared_error,22,1,sigmoid,2.64456974821186,48,minmax2
7,tanh,1200,6,mean_squared_error,24,1,sigmoid,2.10520306951673,48,minmax2
8,tanh,1200,6,mean_squared_error,26,1,sigmoid,1.9677368791287022,48,minmax2
9,tanh,1200,6,mean_squared_error,28,1,sigmoid,2.1370512508733426,48,minmax2
10,tanh,1200,6,mean_squared_error,30,1,sigmoid,1.7408913556228136,48,minmax2
11,tanh,1200,6,mean_squared_error,32,1,sigmoid,1.9108823996624535,48,minmax2
12,sigmoid,1200,6,mean_squared_error,10,1,sigmoid,7.124929216948367,48,minmax2
13,sigmoid,1200,6,mean_squared_error,12,1,sigmoid,3.298965977503746,48,minmax2
14,sigmoid,1200,6,mean_squared_error,14,1,sigmoid,6.515062867726078,48,minmax2
15,sigmoid,1200,6,mean_squared_error,16,1,sigmoid,3.343838724979386,48,minmax2
16,sigmoid,1200,6,mean_squared_error,18,1,sigmoid,6.20796344903589,48,minmax2
17,sigmoid,1200,6,mean_squared_error,20,1,sigmoid,7.869428674253838,48,minmax2
18,sigmoid,1200,6,mean_squared_error,22,1,sigmoid,2.8493753576394805,48,minmax2
19,sigmoid,1200,6,mean_squared_error,24,1,sigmoid,4.107041872764381,48,minmax2
20,sigmoid,1200,6,mean_squared_error,26,1,sigmoid,2.8493142530629467,48,minmax2
21,sigmoid,1200,6,mean_squared_error,28,1,sigmoid,5.408187487837697,48,minmax2
22,sigmoid,1200,6,mean_squared_error,30,1,sigmoid,3.449161245445929,48,minmax2
23,sigmoid,1200,6,mean_squared_error,32,1,sigmoid,6.77107044130219,48,minmax2
