,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,3,mean_squared_error,10,1,sigmoid,2.854298514726022,672,minmax2
1,tanh,1200,3,mean_squared_error,12,1,sigmoid,3.3333189022966705,672,minmax2
2,tanh,1200,3,mean_squared_error,14,1,sigmoid,3.0186977836895186,672,minmax2
3,tanh,1200,3,mean_squared_error,16,1,sigmoid,3.440439533092842,672,minmax2
4,tanh,1200,3,mean_squared_error,18,1,sigmoid,1.937437287156231,672,minmax2
5,tanh,1200,3,mean_squared_error,20,1,sigmoid,2.9840551480146753,672,minmax2
6,tanh,1200,3,mean_squared_error,22,1,sigmoid,2.690364801780738,672,minmax2
7,tanh,1200,3,mean_squared_error,24,1,sigmoid,2.3808375515484883,672,minmax2
8,tanh,1200,3,mean_squared_error,26,1,sigmoid,2.076030357298838,672,minmax2
9,tanh,1200,3,mean_squared_error,28,1,sigmoid,1.8709112192967277,672,minmax2
10,tanh,1200,3,mean_squared_error,30,1,sigmoid,1.8115674112555549,672,minmax2
11,tanh,1200,3,mean_squared_error,32,1,sigmoid,1.7759824694608994,672,minmax2
12,sigmoid,1200,3,mean_squared_error,10,1,sigmoid,5.816303693229211,672,minmax2
13,sigmoid,1200,3,mean_squared_error,12,1,sigmoid,2.631526794812454,672,minmax2
14,sigmoid,1200,3,mean_squared_error,14,1,sigmoid,5.227709390868874,672,minmax2
15,sigmoid,1200,3,mean_squared_error,16,1,sigmoid,2.5709352221756467,672,minmax2
16,sigmoid,1200,3,mean_squared_error,18,1,sigmoid,5.089660492996329,672,minmax2
17,sigmoid,1200,3,mean_squared_error,20,1,sigmoid,6.743629024512495,672,minmax2
18,sigmoid,1200,3,mean_squared_error,22,1,sigmoid,2.3824778532317263,672,minmax2
19,sigmoid,1200,3,mean_squared_error,24,1,sigmoid,3.421623437412614,672,minmax2
20,sigmoid,1200,3,mean_squared_error,26,1,sigmoid,2.4506037772602363,672,minmax2
21,sigmoid,1200,3,mean_squared_error,28,1,sigmoid,4.447442749812085,672,minmax2
22,sigmoid,1200,3,mean_squared_error,30,1,sigmoid,2.954111327644677,672,minmax2
23,sigmoid,1200,3,mean_squared_error,32,1,sigmoid,5.878869629185086,672,minmax2
