,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,2,mean_squared_error,10,1,sigmoid,3.047505612256079,24,minmax2
1,tanh,1200,2,mean_squared_error,12,1,sigmoid,3.949910806168194,24,minmax2
2,tanh,1200,2,mean_squared_error,14,1,sigmoid,2.4812497075466253,24,minmax2
3,tanh,1200,2,mean_squared_error,16,1,sigmoid,2.313231456831951,24,minmax2
4,tanh,1200,2,mean_squared_error,18,1,sigmoid,2.062764900503405,24,minmax2
5,tanh,1200,2,mean_squared_error,20,1,sigmoid,3.0532867251312505,24,minmax2
6,tanh,1200,2,mean_squared_error,22,1,sigmoid,2.235457693859007,24,minmax2
7,tanh,1200,2,mean_squared_error,24,1,sigmoid,1.9468743683638505,24,minmax2
8,tanh,1200,2,mean_squared_error,26,1,sigmoid,1.7279952814431818,24,minmax2
9,tanh,1200,2,mean_squared_error,28,1,sigmoid,1.9982387420548269,24,minmax2
10,tanh,1200,2,mean_squared_error,30,1,sigmoid,1.7646085282298858,24,minmax2
11,tanh,1200,2,mean_squared_error,32,1,sigmoid,1.8971775216521147,24,minmax2
12,sigmoid,1200,2,mean_squared_error,10,1,sigmoid,7.250887067223554,24,minmax2
13,sigmoid,1200,2,mean_squared_error,12,1,sigmoid,3.140536424545996,24,minmax2
14,sigmoid,1200,2,mean_squared_error,14,1,sigmoid,6.582922712651498,24,minmax2
15,sigmoid,1200,2,mean_squared_error,16,1,sigmoid,3.2206705508764895,24,minmax2
16,sigmoid,1200,2,mean_squared_error,18,1,sigmoid,6.402206106147172,24,minmax2
17,sigmoid,1200,2,mean_squared_error,20,1,sigmoid,8.094284636168684,24,minmax2
18,sigmoid,1200,2,mean_squared_error,22,1,sigmoid,2.6733875940006375,24,minmax2
19,sigmoid,1200,2,mean_squared_error,24,1,sigmoid,4.244865818546003,24,minmax2
20,sigmoid,1200,2,mean_squared_error,26,1,sigmoid,2.8073552666267725,24,minmax2
21,sigmoid,1200,2,mean_squared_error,28,1,sigmoid,5.495219176951332,24,minmax2
22,sigmoid,1200,2,mean_squared_error,30,1,sigmoid,3.721842412192908,24,minmax2
23,sigmoid,1200,2,mean_squared_error,32,1,sigmoid,6.876828884906284,24,minmax2
