,activation,batch_size,input_dim,loss,nodes,output_dim,recurrent_activation,score,timesteps,preproc
0,tanh,1200,6,mean_squared_error,10,1,sigmoid,3.0705491848115507,72,minmax2
1,tanh,1200,6,mean_squared_error,12,1,sigmoid,3.591222831179962,72,minmax2
2,tanh,1200,6,mean_squared_error,14,1,sigmoid,3.3702302597729914,72,minmax2
3,tanh,1200,6,mean_squared_error,16,1,sigmoid,2.793245838419992,72,minmax2
4,tanh,1200,6,mean_squared_error,18,1,sigmoid,2.0824410407059006,72,minmax2
5,tanh,1200,6,mean_squared_error,20,1,sigmoid,2.7631506954638896,72,minmax2
6,tanh,1200,6,mean_squared_error,22,1,sigmoid,2.135969034247326,72,minmax2
7,tanh,1200,6,mean_squared_error,24,1,sigmoid,1.9841922696707242,72,minmax2
8,tanh,1200,6,mean_squared_error,26,1,sigmoid,2.0615051998400657,72,minmax2
9,tanh,1200,6,mean_squared_error,28,1,sigmoid,2.3778782705374546,72,minmax2
10,tanh,1200,6,mean_squared_error,30,1,sigmoid,1.8332882020626762,72,minmax2
11,tanh,1200,6,mean_squared_error,32,1,sigmoid,1.8697854651236534,72,minmax2
12,sigmoid,1200,6,mean_squared_error,10,1,sigmoid,6.578174985408626,72,minmax2
13,sigmoid,1200,6,mean_squared_error,12,1,sigmoid,3.2372831595352767,72,minmax2
14,sigmoid,1200,6,mean_squared_error,14,1,sigmoid,5.769463944811024,72,minmax2
15,sigmoid,1200,6,mean_squared_error,16,1,sigmoid,3.1866586141791498,72,minmax2
16,sigmoid,1200,6,mean_squared_error,18,1,sigmoid,5.652910702471611,72,minmax2
17,sigmoid,1200,6,mean_squared_error,20,1,sigmoid,7.213871633009712,72,minmax2
18,sigmoid,1200,6,mean_squared_error,22,1,sigmoid,2.8907730080476597,72,minmax2
19,sigmoid,1200,6,mean_squared_error,24,1,sigmoid,3.9751173633676693,72,minmax2
20,sigmoid,1200,6,mean_squared_error,26,1,sigmoid,2.9184964187503732,72,minmax2
21,sigmoid,1200,6,mean_squared_error,28,1,sigmoid,5.160737140464553,72,minmax2
22,sigmoid,1200,6,mean_squared_error,30,1,sigmoid,3.518610505559787,72,minmax2
23,sigmoid,1200,6,mean_squared_error,32,1,sigmoid,6.309512316504201,72,minmax2
